catalog,schema,table,full_table_name,table_type,data_source_format,catalog_normalized,schema_normalized,table_normalized,full_table_name_normalized
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__event_log,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__event_log,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__event_log,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__event_log
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_det_ing_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_det_ing_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_det_ing_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_det_ing_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_pos_fin_act_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_pos_fin_act_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_pos_fin_act_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_pos_fin_act_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_pos_fin_cap_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_pos_fin_cap_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_pos_fin_cap_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_pos_fin_cap_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_pos_fin_pas_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_pos_fin_pas_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_act_emp_pos_fin_pas_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_act_emp_pos_fin_pas_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_acr_imp_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_acr_imp_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_acr_imp_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_acr_imp_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext10_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext10_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext10_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext10_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext11_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext11_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext11_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext11_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext9_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext9_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext9_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_det_det_imp_pag_ext9_1
__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_didcemi3b_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_didcemi3b_1,MANAGED,DELTA,__databricks_internal,__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab,__materialization_mat_af2_sat_anexos_didcemi3b_1,__databricks_internal.__dlt_materialization_schema_112359da_2c0f_4943_8a06_6ef90eb2ecab.__materialization_mat_af2_sat_anexos_didcemi3b_1
